SMILES,Dataset,ZBTB11_pDC50,ZBTB11_Dmax,IKZF1_pDC50,IKZF1_Dmax,
O=C1CCC(N2C(C(C=CC(NC(N(CC3)CCC3C4=CC=CC(OC)=C4)=O)=C5)=C5C2)=O)C(N1)=O,Val,,0,6.276544328,27.19,MR2-amidePiperidine
O=C1CCC(N2C(C(C=CC(NC(N3CC(C4=CC=C(OC)C=C4)CC3)=O)=C5)=C5C2)=O)C(N1)=O,Val,5.554551486,8.48,4.220981028,27.16,MR2-amidePyrrolidine
O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,Train,,27.96,4.575118363,58.51,MR2-ureaAlkyl
O=C1C2=CC=C(NC(N(CCC3=CC=C(SC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,Train,5.034798299,8.66,4.749824052,24.03,MR2-ureaAlkyl
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,Test,6.086186148,10.1,8.045757491,80.13,MR2-amideMeAmineAlkyl
O=C1C2=CC=C(NC(N(CCC3=CC=C(OC)C=C3)CC)=O)C=C2CN1C4CCC(NC4=O)=O,Train,4.048128443,10.1,,22.3,MR2-ureaAlkyl
O=C1CCC(N2C(C(C=CC(NC(N3CC(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Val,,13.45,5.373351732,34.16,MR2-amidePiperidine
COC1=CC=C(N2CCN(C(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)CC2)C=C1,Val,5.995678626,15.28,5.887060024,7.3,MR2-amidePiperazine
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,Test,4.032452024,6.29,7.853871964,62.53,MR2-amideMePiperazine
O=C1C2=CC=C(NC(NC(C3=CC=C(OC)C=C3)(C)C)=O)C=C2CN1C4CCC(NC4=O)=O,Train,7.397940009,50.07,7.958607315,86.17,MR2-urea
O=C1CCC(N2C(C(C=CC(NC(N(C)CC(C)(C)C3=CC=C(OC)C=C3)=O)=C4)=C4C2)=O)C(N1)=O,Train,,12.95,,17.5,MR2-ureaMe
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCC4=CC=CC=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,Test,4.86710023,16.43,6.142667504,66.72,MR2-ureaAmideAlkyl
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,Test,5.355561411,16.33,6.228412519,73.67,MR2-ureaAmideAlkyl
O=C1CCC(N2C(C(C=CC(NC(NC3(C4=CC=CC(OC5=CC=CC=C5)=C4)CCC3)=O)=C6)=C6C2)=O)C(N1)=O,Test,7.522878745,38.49,7.958607315,81.27,MR2-ureaPhEtherPh
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=CC5=C4C=C(OC)C=C5)=O)=C6)=C6C2)=O)C(N1)=O,Test,,60.04,7.853871964,63.97,MR2-ureaNapthalene
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,7.522878745,55.57,8.15490196,79.52,MR2-urea
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=CC=C4)=O)=C5)=C5C2)=O)C(N1)=O,Test,6.113509275,10.46,5.835349784,39.4,MR2-ureaMeAmineMe
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Test,6.022276395,20.22,5.756961951,30.65,MR2-ureaMeAmineMe
O=C1CCC(N2C(C(C=CC(NC(N(C)C3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,6.698970004,13.17,7.22184875,47.85,MR2-urea
COC1=CC=C(C2(CCC2)NS(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)(=O)=O)C=C1,Test,,20.41,,27.76,MR2-sulfonimidamide
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,Train,7.096910013,49.78,8.15490196,86.63,MR2-urea
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,Test,5.040481623,20.68,5.294992041,88.98,MR2-dithiethene
O=C1C2=CC=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C2CN1C5CCC(NC5=O)=O,Test,,14.52,,10.72,MR2-dithiethene
