Compound_ID,SMILES,Seed,ipTM_ikzf1,pTM_ikzf1,pLDDT_ikzf1,Ranking_Score_ikzf1,Early_Stopped_ikzf1,Min_Dist_Angstrom_ikzf1,Dist_Status_ikzf1,Flagged_Greater_Than_10A_ikzf1,Fraction_Success_Under_10A_ikzf1,OpenMM_Minimized_Energy_kJ_mol,OpenMM_Minimized_Energy_kJ_mol_ikzf1
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,51,0.7461300492286682,0.8329812288284302,0.8582,0.7635,False,3.4231496,Success,False,1.0,,-20739.9177249372
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,42,0.7500820755958557,0.8394878506660461,0.8582,0.768,False,3.1052005,Success,False,1.0,,-20521.98776525259
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43,0.7239466309547424,0.8417404890060425,0.8581,0.7475,False,3.2163475,Success,False,1.0,,-20609.364438176155
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,44,0.7406408190727234,0.8441722393035889,0.8583,0.7613,False,2.9703124,Success,False,1.0,,-20706.471699774265
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,45,0.7360207438468933,0.8428673148155212,0.8581,0.7574,False,3.2201035,Success,False,1.0,,-20411.931305348873
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,46,0.7397969961166382,0.8397440314292908,0.858,0.7598,False,2.7338934,Success,False,1.0,,-20424.357416033745
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,47,0.7291746735572815,0.8402039408683777,0.8581,0.7514,False,3.0126183,Success,False,1.0,,-20341.75289517641
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,48,0.7196094989776611,0.8411413431167603,0.8581,0.7439,False,3.1267285,Success,False,1.0,,-20393.343596160412
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,49,0.7496533989906311,0.8428763151168823,0.8592,0.7683,False,3.1548278,Success,False,1.0,,-19866.378977119923
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,50,0.7490285634994507,0.8415580987930298,0.8583,0.7675,False,2.950205,Success,False,1.0,,-20586.578439354897
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,51,0.7319414615631104,0.8432796597480774,0.8584,0.7542,False,2.9313586,Success,False,1.0,,-19683.97219580412
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,42,0.7283461689949036,0.8335744142532349,0.8568,0.7494,False,2.5155294,Success,False,1.0,,-21412.076924562454
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,43,0.7097353935241699,0.833209216594696,0.8568,0.7344,False,3.322965,Success,False,1.0,,
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,44,0.7363015413284302,0.8324130773544312,0.8574,0.7555,False,2.2067947,Success,False,1.0,,-20796.265682280064
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,45,0.7234552502632141,0.8334355354309082,0.8572,0.7455,False,2.2073336,Success,False,1.0,,-20561.193935334682
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,46,0.7367671728134155,0.8373291492462158,0.8577,0.7569,False,3.1434124,Success,False,1.0,,-20880.33276927471
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,47,0.732458770275116,0.8311103582382202,0.8571,0.7522,False,3.0656526,Success,False,1.0,,-20752.389849305153
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,48,0.7336731553077698,0.8356117606163025,0.8572,0.7541,False,3.2318335,Success,False,1.0,,-20894.447519004345
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,49,0.7289605736732483,0.8324959874153137,0.8572,0.7497,False,3.2604015,Success,False,1.0,,
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,50,0.7133739590644836,0.8327363133430481,0.8568,0.7372,False,3.1949995,Success,False,1.0,,
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,51,0.7147085666656494,0.8309413194656372,0.8563,0.738,False,2.8430264,Success,False,1.0,,-20778.86502674222
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,42,0.7570986151695251,0.8517839312553406,0.8589,0.776,False,3.250087,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43,0.7400853037834167,0.8644388914108276,0.8595,0.765,False,3.33048,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,44,0.7582568526268005,0.8559165000915527,0.8586,0.7778,False,3.2273142,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,45,0.742418110370636,0.8425518274307251,0.8567,0.7624,False,3.3400269,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,46,0.7403838038444519,0.8514730334281921,0.8581,0.7626,False,3.185208,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,47,0.7328680753707886,0.8450123071670532,0.8575,0.7553,False,3.3322449,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,48,0.7574077248573303,0.8636777400970459,0.8592,0.7787,False,3.4009914,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,49,0.7444800138473511,0.8449246883392334,0.8565,0.7646,False,3.1050677,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,50,0.7366803288459778,0.8444510698318481,0.8573,0.7582,False,3.2549253,Success,False,1.0,,
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,51,0.7497305274009705,0.8489396572113037,0.8578,0.7696,False,3.0092154,Success,False,1.0,,
JWJ-01-222,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C,42,0.7448190450668335,0.8421354293823242,0.8571,0.7643,False,3.3320408,Success,False,1.0,,-20412.804356873035
JWJ-01-222,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C,43,0.7292178869247437,0.8479508757591248,0.8573,0.753,False,2.316113,Success,False,1.0,,-20493.388957232237
JWJ-01-222,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C,44,0.7446882128715515,0.8453719615936279,0.8579,0.7648,False,2.5450618,Success,False,1.0,,-19897.759181320667
